game_name,release_date,Added to Service,Removed from Service,metacritic_score,publisher,developer,System
Super Bomberman R,2017-03-03,2019-02-01,2019-03-01,,"Konami, Konami Digital Entertainment-US",Konami Digital Entertainment,XB1/Series X|S
Kingdom: New Lands,2015-10-01,2018-04-01,2019-03-01,87,Raw Fury,"Raw Fury, Noio, Licorice",Xbox
Late Shift,2017-04-01,2018-04-01,2019-03-01,72,"Wales Interactive, {CRYTIME}","Wales Interactive, CtrlMovie, {CRYTIME}",Xbox
Portal Knights,2016-02-01,2018-04-01,2019-03-01,77,505 Games,"505 Games, Keen Games",Xbox
Sacred Citadel,2013-04-01,2018-04-01,2019-03-01,63,Deep Silver,"Deep Silver, Southend Interactive, Southend",Xbox
Star Wars Jedi Knight: Jedi Academy,2003-09-16,2019-02-01,2019-02-01,81,"Aspyr, Disney Interactive, LucasArts Entertainment","Aspyr Media, Raven Software, Lucasfilm",XB360/OG Xbox
Bloodstained: Curse of the Moon,2018-05-24,2019-02-01,2019-02-01,78,Inti Creates,Inti Creates,XB1/Series X|S
F1 2015,2015-07-01,2017-07-01,2019-02-01,64,"Feral Interactive, Codemasters","Feral Interactive, Codemasters",Xbox
Assassin's Creed Rogue,2014-11-11,2019-02-01,2019-02-01,74,Ubisoft Entertainment,"Ubisoft, Ubisoft Kiev, Ubisoft Sofia",XB360/OG Xbox
WRC 6,2016-10-07,2019-01-01,2019-02-01,68,Bigben Interactive,"Plug In Digital, Kylotonn Entertainment",XB1/Series X|S
Aven Colony,2017-07-01,2018-09-01,2019-02-01,77,Team17 Digital,"Team17 Digital, Mothership Entertainment",Xbox
Shadow Warrior,2013-09-01,2018-09-01,2019-02-01,74,"Devolver Digital, GHI Media, 3D Realms","Devolver Digital, 3D Realms",Xbox
Dovetail Games: Euro Fishing,2015-11-01,2018-03-01,2019-02-01,61,"Dovetail Games, Dovetail Games - Fishing",Dovetail Games,Xbox
Resident Evil: Revelations 2,2015-02-01,2018-03-01,2019-02-01,75,Capcom,"Capcom, Capcom U.S.A, Tose",Xbox
Sonic CD,1993-09-01,2018-03-01,2019-02-01,82,"SEGA, Softkey",Sonic Team,Xbox
The Final Station,2016-08-01,2018-03-01,2019-02-01,70,tinyBuild,"tinyBuild, Do My Best, Andrey Rumak, Oleg Sergeev",Xbox
Kyub,2016-07-01,2017-06-01,2019-02-01,90,"NextNinja, Ninja Egg",NextNinja Co.,Xbox
Mega Coin Squad,2014-08-01,2017-06-01,2019-02-01,74,Adult Swim Games,"Adult Swim, Big Pixel Studios",Xbox
Far Cry 2,2008-10-21,2019-01-01,2019-01-01,85,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal",XB360/OG Xbox
Celeste,2018-01-25,2019-01-01,2019-01-01,91,Matt Makes Games,"Matt Makes Games, Extremely OK Games, Noel",XB1/Series X|S
Lara Croft and the Guardian of Light,2010-08-05,2019-01-01,2019-01-01,82,Square Enix,"Square Enix, Crystal Dynamics",XB360/OG Xbox
Never Alone (Kishima Ingitchuna),2014-11-18,2018-12-01,2019-01-01,70,E-Line Media,Upper One Games,XB1/Series X|S
The Escapists: The Walking Dead,2015-09-01,2018-08-01,2019-01-01,65,Team17 Digital,Team17 Digital,Xbox
Letter Quest: Grimm's Journey - Remastered,2014-07-01,2018-02-01,2019-01-01,77,Digerati Distribution,Bacon Bandit Games,Xbox
Dead Rising 3,2013-11-01,2017-08-01,2019-01-01,78,Microsoft Studios,Capcom Vancouver,Xbox
Electronic Super Joy,2013-08-01,2017-06-01,2019-01-01,77,"LOOT Interactive, Michael Todd Games","Broken Rules, LOOT™ Interactive, Michael Todd Games, MichaelToddGames",Xbox
Roundabout,2014-09-01,2017-06-01,2019-01-01,74,No Goblin,No Goblin,Xbox
Steredenn,2015-05-01,2017-06-01,2019-01-01,79,"Plug In Digital, Pixelnest Studio","Plug In Digital, Pixelnest Studio",Xbox
Mercenaries: Playground of Destruction,2005-01-11,2018-12-01,2018-12-01,,LucasArts Entertainment,Pandemic Studios,XB360/OG Xbox
Q.U.B.E. 2,2018-03-13,2018-12-01,2018-12-01,75,"Trapped Nerve Games, TrappedNerveGames","Toxic Games, Trapped Nerve Games",XB1/Series X|S
Dragon Age II,2011-03-08,2018-12-01,2018-12-01,81,Electronic Arts,BioWare,XB360/OG Xbox
Race the Sun,2013-08-17,2018-11-01,2018-12-01,79,Flippfly,FlippFly,XB1/Series X|S
